epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,1448.51,0.31073,0.20166,0.86798,0.99726,1,0.995,0.96212,0.2703,0.16646,0.80677,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,1482.42,0.29758,0.19757,0.86059,0.99751,1,0.995,0.95948,0.2901,0.16922,0.81499,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,1516.14,0.30232,0.19958,0.86787,0.99747,1,0.995,0.96,0.27447,0.17276,0.80622,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,1549.19,0.29395,0.19551,0.86604,0.99713,0.99358,0.995,0.96136,0.28132,0.16704,0.80713,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,1583.02,0.29526,0.1937,0.86431,0.99777,1,0.995,0.96501,0.28542,0.16426,0.81424,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,1616.39,0.29233,0.19003,0.862,0.9975,1,0.995,0.96233,0.29336,0.17,0.81941,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,1649.41,0.29402,0.18644,0.86656,0.99725,1,0.995,0.96241,0.28111,0.15794,0.81201,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,1683.01,0.28391,0.18242,0.85646,0.99741,1,0.995,0.96582,0.27905,0.15876,0.81017,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,1716.72,0.28217,0.18029,0.85904,0.99783,1,0.995,0.96216,0.28494,0.15968,0.81637,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,1750.68,0.28825,0.18729,0.85861,0.99816,1,0.995,0.96533,0.28004,0.1582,0.81453,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,1786.62,0.28754,0.18627,0.86321,0.99707,1,0.995,0.96449,0.28162,0.15918,0.81613,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,1819.95,0.2763,0.18055,0.85446,0.99745,1,0.995,0.96677,0.29635,0.16059,0.81693,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,1854.94,0.27879,0.18174,0.86357,0.99687,1,0.995,0.96418,0.27713,0.15467,0.81197,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,1888.88,0.27812,0.18058,0.85951,0.99814,1,0.995,0.96378,0.27838,0.16193,0.80987,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,1922.35,0.27834,0.18165,0.8593,0.99847,1,0.995,0.96365,0.28145,0.15647,0.81226,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
